,coaster_name,Location,Status,Manufacturer,Model,Lift/launch system,Trains,Designer,year_introduced,latitude,longitude,track_type,opening_date_clean,speed_mph,height_ft,Inversions_clean,Gforce_clean,Length_ft,Height_restriction_in,Cost_USD,Acceleration_clean,Max_vertical_angle,Duration_seconds,Capacity_riders_per_hour,Drop_ft
620,Winja's Fear & Force,Other,Operating,Maurer AG,Xtended SC 3000,Elevator Lift,Unknown,Werner Stengel,2002,50.8002,6.8777,Steel,2002-03-30,37.2,91.9,0,4.0,1345.17,47.24409448818898,8540000.0,9.1,45.0,105.0,1440,92.0
621,X2 (roller coaster),Six Flags Magic Mountain,Operating,Arrow Dynamics,4th Dimension Coaster,Chain Lift,3 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Alan SchilkeRenato Manzoni,2002,34.421,-118.5929,Steel,2002-01-12,76.0,91.9,2,4.0,3610.0,48.0,27500000.0,9.1,88.5,105.0,1600,215.0
622,Xcelerator,Knott's Berry Farm,Operating,Intamin,Accelerator Coaster,Hydraulic catch car launch,2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Werner Stengel,2002,33.8458,-118.0008,Steel,2002-06-22,82.0,91.9,0,4.0,2202.0,52.0,13000000.0,15.94,90.0,62.0,1330,92.0
623,Atlantis Adventure,Lotte World,Operating,Intamin,Suspended looping coaster,Unknown,Unknown,Unknown,2003,40.2864,-76.6531,Steel,2003-01-01,46.6,91.9,0,4.0,2198.1,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
624,Balder (roller coaster),Liseberg,Operating,Intamin,Wooden Coaster (Prefabricated Track),1 chain lift hill,2 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Ingenieurbüro Stengel GmbH,2003,57.6933,11.9961,Wood,2003-04-12,55.9,118.1,0,4.0,3510.0,3.0,100000000.0,9.1,70.0,128.0,1200,100.0
625,Batman: The Ride,Other,Unknown,Bolliger & Mabillard,Inverted Coaster – Batman,Chain lift hill,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Werner Stengel,2003,40.2864,-76.6531,Steel,Unknown,50.0,91.9,5,4.0,2700.0,54.0,8540000.0,9.1,65.0,105.0,1400,84.5
626,Canyon Blaster (Great Escape),Other,Unknown,Arrow Development,Mine Train,Chain lift hill,Unknown,Unknown,2003,40.2864,-76.6531,Steel,Unknown,45.0,91.9,0,4.0,2000.0,42.0,8540000.0,9.1,65.0,150.0,1080,92.0
627,Dragon Express,Adventure World,Operating,Zamperla,Family Gravity Coaster 80STD,Unknown,Single train with 6 cars. Riders are arranged 2 across in a single row for a total of 12 riders per train.,Unknown,2003,-32.097,115.8181,Steel,2003-09-27,49.7,13.1,0,4.0,260.0,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
628,Greased Lightnin' (Six Flags Discovery Kingdom),Other,Discontinued,Anton Schwarzkopf,Unknown,Unknown,Unknown,Werner Stengel & Reinhold Spieldiener,2003,40.2864,-76.6531,Other,Unknown,49.7,91.9,2,4.0,2300.0,48.0,8540000.0,9.1,65.0,105.0,1300,92.0
629,Greezed Lightnin' (Kentucky Kingdom),Other,Discontinued,Anton Schwarzkopf,Unknown,Unknown,Unknown,Werner Stengel & Reinhold Spieldiener,2003,40.2864,-76.6531,Other,Unknown,49.7,91.9,2,4.0,2300.0,48.0,8540000.0,9.1,65.0,105.0,1300,92.0
630,Half Pipe (roller coaster),Other,Unknown,Intamin,Half Pipe Coaster (30m),LIM,"Single train with 2 cars, each seating 8 riders",Werner Stengel,2003,40.2864,-76.6531,Steel,Unknown,43.5,91.9,0,4.5,229.7,52.0,8540000.0,9.1,65.0,120.0,1080,92.0
632,The Jester (roller coaster),Other,Unknown,Vekoma,Hurricane,Chain lift hill,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Unknown,2003,40.2864,-76.6531,Steel,Unknown,40.0,91.9,3,3.5,1936.0,48.0,4300000.0,9.1,40.0,84.0,1200,69.0
633,Kiddy Hawk,Carowinds,Operating,Vekoma,Suspended Family Coaster 342m,Tire propelled lift hill,Single train with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,Unknown,2003,40.2864,-76.6531,Steel,2003-03-22,26.0,91.9,0,2.2,1122.0,17.322834645669293,8540000.0,9.1,65.0,90.0,650,92.0
634,Nemesis Inferno,Thorpe Park,Operating,Bolliger & Mabillard,Inverted Coaster – Custom,Chain lift hill,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,John Wardley & Werner Stengel & Jordan Forster,2003,51.4035,-0.5164,Steel,2003-04-05,49.7,95.1,4,5.0,2460.0,7.0,10000000.0,9.1,65.0,103.0,1150,92.0
635,Ozark Wildcat,Celebration City,Removed,Great Coasters International,Unknown,Unknown,2 trains with 12 cars. Riders are arranged 2 across in a single row for a total of 24 riders per train.,Unknown,2003,36.6509,-93.2938,Wood,2003-05-01,45.0,91.9,0,4.0,2600.0,48.0,4000000.0,9.1,65.0,90.0,1080,92.0
636,Scream (roller coaster),Six Flags Magic Mountain,Operating,Bolliger & Mabillard,Floorless Coaster,Chain lift hill,3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Werner Stengel,2003,34.4286,-118.5983,Steel,2003-04-12,63.0,91.9,7,4.0,3985.0,54.0,8540000.0,9.1,65.0,180.0,1440,141.0
637,Spider (roller coaster),Lagoon,Operating,Maurer AG,Xtended SC 2000,Unknown,8 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,Unknown,2003,40.9844,-111.895,Steel,2003-04-01,37.3,91.9,0,4.0,1391.08,46.0,3000000.0,9.1,50.0,70.0,930,92.0
638,Steel Venom (Valleyfair),Valleyfair,Operating,Intamin,Twisted Impulse Coaster,LIM Launch Track,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Unknown,2003,44.7978,-93.4517,Steel,2003-05-17,68.0,91.9,0,4.0,630.0,20.47244094488189,8500000.0,9.1,90.0,105.0,950,175.0
639,Superman: Ultimate Flight,Other,Unknown,Bolliger & Mabillard,Flying Coaster - Superman,Chain lift hill,"Two (Great America) or three (Over Georgia and Great Adventure) trains, with seven (Over Georgia) or eight (Great America or Great Adventure) cars. Riders are arranged four across in one row for a total of 28 (Over Georgia) or 32 (Great America or Great Adventure) riders per train.",Unknown,2003,40.2864,-76.6531,Steel,Unknown,51.0,91.9,2,3.0,2798.0,54.0,8540000.0,9.1,65.0,105.0,1500,100.0
640,Swamp Thing (Wild Adventures),Wild Adventures,Operating,Vekoma,Suspended Family Coaster (342m),Unknown,Single train with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,Unknown,2003,30.7196,-83.3217,Steel,2003-01-01,26.0,91.9,0,2.2,1122.0,44.0,8540000.0,9.1,65.0,90.0,1080,92.0
641,Thunder Dolphin,Tokyo Dome City Attractions,Operating,Intamin,Mega Coaster,Cable lift hill,Unknown,Werner Stengel,2003,35.7063,139.7533,Steel,2003-05-01,80.8,262.5,0,4.4,3497.0,3.0,37000000.0,9.1,80.0,90.0,1660,217.0
642,Top Thrill Dragster,Cedar Point,Closed,Intamin,Accelerator Coaster,Hydraulic Launch,"6 trains, with 5 cars. Riders are arranged 2 across in 2 rows (except for the first car), for a total of 18 riders per train.",Werner Stengel,2003,41.484,-82.6862,Steel,2003-05-04,120.0,91.9,0,4.0,2800.0,20.47244094488189,25000000.0,13.41,90.0,30.0,1000,400.0
643,Twist n' Shout,Loudoun Castle,Removed,Anton Schwarzkopf,Silverarrow,Chain lift hill,6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Werner Stengel,2003,55.6104,-4.3689,Steel,2003-04-01,41.0,91.9,1,4.0,1817.6,48.0,8540000.0,9.1,65.0,108.0,1500,92.0
644,Vild-Svinet,BonBon-Land,Operating,Gerstlauer,Unknown,Unknown,4 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,Werner Stengel,2003,55.2611,11.8634,Steel,2003-05-16,45.0,72.2,1,4.0,1404.0,7.0,8540000.0,9.1,97.0,60.0,1080,92.0
645,Vilda Musen,Gröna Lund,Operating,Gerstlauer,Bobsled Coaster (Custom),Unknown,Unknown,"Werner Stengel, Wendelin Stückl",2003,59.3231,18.0956,Steel,2003-04-18,34.2,91.9,0,4.0,1410.9,48.0,8540000.0,9.1,40.0,94.0,800,92.0
646,Booster Bike,Toverland,Operating,Vekoma,Motorbike Coaster (600m),Unknown,Single train with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,Vekoma,2004,51.3975,5.9842,Steel,2004-07-27,46.6,49.2,0,2.5,1949.0,55.0,8540000.0,6.94,65.0,68.0,1080,92.0
647,Dæmonen,Tivoli Gardens,Operating,Bolliger & Mabillard,Floorless Coaster,Chain lift hill,2 trains with 6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,Unknown,2004,55.6728,12.5703,Steel,2004-04-16,47.8,91.9,3,4.0,1850.0,4.0,75000000.0,9.1,65.0,106.0,1200,66.0
648,Dragon's Fury (roller coaster),Chessington World of Adventures,Operating,Maurer AG,Xtended SC 3000,2 Chain Lifts,8 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,Unknown,2004,51.348,-0.319,Steel,2004-03-27,49.7,91.9,0,4.0,1706.0,11.0,8540000.0,9.1,65.0,105.0,550,92.0
649,Fairly Odd Coaster,Nickelodeon Universe,Operating,Gerstlauer,Spinning Coaster Model 420/4,Chain-lift,6 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,Werner Stengel,2004,44.8542,-93.2422,Steel,2004-03-15,31.0,91.9,0,3.2,1345.0,43.0,8540000.0,9.1,50.0,90.0,720,34.0
650,Half Pipe (roller coaster),Other,Unknown,Intamin,Half Pipe Coaster (30m),LIM,"Single train with 2 cars, each seating 8 riders",Werner Stengel,2004,40.2864,-76.6531,Steel,Unknown,43.5,91.9,0,4.5,229.7,52.0,8540000.0,9.1,65.0,120.0,1080,92.0
651,Hell Cat,Clementon Amusement Park,Operating,S&S – Sansei Technologies,Wooden Coaster,Chain lift hill,Unknown,Unknown,2004,39.802,-74.9847,Wood,2004-09-18,56.0,91.9,0,4.0,2602.0,54.0,4000000.0,9.1,62.0,90.0,2560,105.0
652,The Joker Funhouse Coaster,Six Flags Over Georgia,Operating,Chance Manufacturing,Big Dipper,Propelled by a spinning propulsion system,Unknown,Unknown,2004,33.7678,-84.551,Steel,2004-09-04,30.0,91.9,0,4.0,900.0,36.0,8540000.0,9.1,65.0,88.0,1000,92.0
653,Journey to Atlantis,SeaWorld Orlando,Operating,Mack Rides,Water Coaster,Chain lift hill,Unknown,Unknown,2004,40.2864,-76.6531,Steel,1998-04-17,49.7,91.9,0,4.0,2300.0,42.0,8540000.0,9.1,65.0,356.0,1080,60.0
654,Lightning (roller coaster),Kuwait Entertainment City,Removed,Bolliger & Mabillard,Inverted Coaster,Chain lift hill,Unknown,Werner Stengel,2004,29.3456,47.8182,Steel,2004-01-01,53.0,91.9,5,4.0,2562.0,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
655,Nighthawk (roller coaster),Other,Unknown,Vekoma,Flying Dutchman,Chain,2 trains with 6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,Unknown,2004,40.2864,-76.6531,Steel,Unknown,51.0,91.9,5,4.3,2766.0,21.25984251968504,17000000.0,9.1,53.0,110.0,1000,103.0
656,Ragin' Cajun (roller coaster),Other,Unknown,Zamperla,Twister Coaster 420STD,Chain lift hill,9 trains with a single car. Riders are arranged 4 across in a single row for a total of 4 riders per train.,Unknown,2004,40.2864,-76.6531,Steel,Unknown,29.1,91.9,0,2.5,1377.9,48.0,8540000.0,9.1,65.0,90.0,900,92.0
657,Revenge of the Mummy,Other,Unknown,Premier Rides,Unknown,Linear induction motors,4 trains with 2 cars. Riders are arranged 4 across in 2 rows for a total of 16 riders per train.,Universal Creative,2004,40.2864,-76.6531,Steel,Unknown,40.0,91.9,0,4.0,2300.0,48.0,8540000.0,9.1,50.0,105.0,1080,92.0
658,Sand Serpent,Other,Unknown,Mack Rides,Wild Maus,Chain lift hill,Unknown,Werner Stengel,2004,40.2864,-76.6531,Steel,Unknown,28.0,91.9,0,4.0,1213.9,48.0,8540000.0,9.1,65.0,110.0,1080,92.0
659,Shock Wave (Brean Leisure Park),Brean Leisure Park,Operating,Pinfari,TL59,Chain lift hill,Unknown,Unknown,2004,51.2861,-3.0089,Steel,2004-01-01,49.7,91.9,1,4.0,2300.0,48.0,8540000.0,9.1,65.0,105.0,960,92.0
660,Silver Bullet (Knott's Berry Farm),Knott's Berry Farm,Operating,Bolliger & Mabillard,Inverted coaster,Chain lift,3 (max. 2 in operation) trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Unknown,2004,33.8444,-117.9997,Steel,2004-12-07,55.0,91.9,6,3.0,3125.0,54.0,16000000.0,9.1,40.0,150.0,1300,109.0
661,Spinball Whizzer,Alton Towers,Operating,Maurer AG,SC 2200[1],Chain lift hill,Unknown,Unknown,2004,52.9889,-1.8946,Steel,2004-03-27,37.3,55.8,0,4.0,1540.0,47.24409448818898,4375000.0,9.1,65.0,75.0,950,92.0
662,Spinning Dragons,Worlds of Fun,Operating,Gerstlauer,Unknown,Chain Lift,Unknown,Unknown,2004,39.1754,-94.4879,Steel,2004-04-17,31.0,91.9,0,4.0,1345.0,43.0,4000000.0,9.1,50.0,90.0,720,50.0
663,Steel Dragon (Waldameer),Waldameer Park,Operating,Maurer AG,Unknown,Chain,Unknown,Unknown,2004,42.1081,-80.1589,Steel,2004-07-02,37.3,91.9,0,4.0,1391.0,46.0,4000000.0,9.1,50.0,84.0,1080,92.0
664,Storm Runner,Hersheypark,Operating,Intamin,Accelerator Coaster,Hydraulic Launch,2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Werner Stengel,2004,40.2897,-76.6536,Steel,2004-05-08,75.0,91.9,3,5.0,2600.0,54.0,12500000.0,16.09,90.0,50.0,1200,180.0
665,Super Grover's Box Car Derby,Other,Unknown,Zierer,Unknown,Unknown,Single train with 14 cars. Riders are arranged 2 across in a single row for a total of 28 riders per train.,Ing.-Büro Stengel GmbH,2004,40.2864,-76.6531,Steel,Unknown,28.0,91.9,0,4.0,800.0,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
666,Superman El Último Escape,Six Flags México,Operating,D. H. Morgan Manufacturing,Hypercoaster,Chain,3 trains with 6 cars. Riders are arranged 2 across in 3 rows for a total of 36 riders per train.,Unknown,2004,40.2864,-76.6531,Steel,2004-11-19,74.6,91.9,0,4.0,5577.4,3.0,8540000.0,9.1,60.0,184.0,1600,205.0
667,The Gauntlet (roller coaster),Magic Springs and Crystal Falls,Operating,Vekoma,SLC (689m Standard),Chain lift hill,2 trains with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,Unknown,2004,38.1941,-85.747,Steel,2004-04-10,49.7,91.9,5,4.0,2260.0,20.47244094488189,7000000.0,9.1,65.0,96.0,1040,92.0
668,Thunderhead (roller coaster),Dollywood,Operating,Great Coasters International,Unknown,Chain lift hill,12 cars. Riders are arranged 2 across in a single row for a total of 24 riders per train.,Mike Boodley,2004,35.7967,-83.5319,Wood,2004-04-03,53.7,91.9,0,4.0,3230.0,18.89763779527559,7000000.0,9.1,60.0,150.0,1080,100.0
669,Time Warp (roller coaster),Canada's Wonderland,Operating,Zamperla,Unknown,Spiral Lift,7 trains with a single car. Riders are arranged 4 across in a single row for a total of 4 riders per train.,Ingenieur Büro Stengel GmbH,2004,43.8408,-79.5396,Steel,2004-05-02,25.7,50.2,2,4.0,1282.8,6.0,8540000.0,9.1,65.0,64.0,1080,92.0
670,Tulireki,Linnanmäki,Operating,Mack Rides,e-Motion Coaster,Unknown,Unknown,Unknown,2004,60.1881,24.9381,Steel,2004-04-29,36.0,91.9,0,3.5,1102.4,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
671,Typhoon (Bobbejaanland),Bobbejaanland,Operating,Gerstlauer,Unknown,Unknown,Unknown,Werner Stengel,2004,51.1997,4.9055,Steel,2004-04-10,49.7,84.3,4,5.0,2200.0,48.0,5500000.0,9.1,97.0,90.0,1400,92.0
672,WhirlWind (Seabreeze),Seabreeze Amusement Park,Operating,Maurer AG,Xtended SC 2000,Chain,Unknown,Maurer Söhne,2004,43.234,-77.5429,Steel,2004-01-01,37.3,91.9,0,4.0,1391.0,48.0,2000000.0,9.1,50.0,70.0,930,92.0
673,Atlantica SuperSplash,Europa Park,Unknown,Mack Rides,Water coasterSuperSplash,Unknown,Unknown,Unknown,2005,48.2622,7.7211,Other,2005-03-19,49.7,98.4,0,4.0,1280.0,3.0,5500000.0,9.1,50.0,200.0,1400,98.0
674,Bat (Lagoon),Lagoon Amusement Park,Operating,Vekoma,Suspended Family Coaster (342m),Unknown,Single train with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,Unknown,2005,40.9862,-111.8926,Steel,2005-04-16,49.7,48.6,0,2.2,1122.0,42.0,8540000.0,9.1,65.0,90.0,650,92.0
675,Bocaraca,Other,Unknown,Vekoma,Whirlwind,Chain lift hill,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Unknown,2005,40.2864,-76.6531,Steel,Unknown,37.3,91.9,2,4.0,1148.3,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
676,Cobra (PowerPark),PowerPark,Operating,Vekoma,Boomerang,Unknown,Unknown,Unknown,2005,63.2298,22.8587,Steel,2005-01-01,47.0,91.9,3,5.2,935.0,51.181102362204726,8540000.0,9.1,65.0,108.0,760,92.0
677,Fairly Odd Coaster (Carowinds),Carowinds,Operating,Philadelphia Toboggan Coasters,144a,Chain Lift,Unknown,John C. Allen,2005,35.101,-80.9394,Wood,1975-01-01,36.0,91.9,0,4.0,1356.0,40.0,8540000.0,9.1,65.0,60.0,1250,35.0
678,Frankie's Mine Train,Other,Unknown,Zamperla,Family Gravity Coaster 80STD,Chain lift hill,Single train with 6 cars. Riders are arranged 2 across in a single row for a total of 12 riders per train.,Unknown,2005,40.2864,-76.6531,Steel,Unknown,49.7,91.9,0,4.0,262.5,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
679,G Force (roller coaster),Drayton Manor Theme Park,Removed,Maurer AG,HBX 2000,Unknown,2 trains with 2 cars. Riders are arranged 2 across in 3 rows for a total of 12 riders per train.,Unknown,2005,52.6128,-1.7147,Other,2005-07-26,43.5,91.9,3,4.3,1263.0,20.866141732283463,3125000.0,9.1,360.0,45.0,1100,92.0
680,Hades 360,Mt. Olympus Water & Theme Park,Operating,The Gravity Group,Unknown,Unknown,Single train with 12 cars. Riders are arranged 2 across in a single row for a total of 24 riders per train.,Unknown,2005,43.617,-89.7893,Wood,2013-05-14,60.0,91.9,1,3.5,4746.0,48.0,8540000.0,9.1,65.0,140.0,1080,140.0
681,Hydra the Revenge,Dorney Park & Wildwater Kingdom,Operating,Bolliger & Mabillard,Floorless Coaster,Chain lift hill,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Werner Stengel,2005,40.581,-75.5325,Steel,2005-05-07,53.0,91.9,7,4.0,3198.0,54.0,13000000.0,9.1,68.0,155.0,1245,105.0
682,Italian Job: Stunt Track (Canada's Wonderland),Other,Unknown,Premier Rides,Unknown,LIM Launch Track,3 trains with 3 cars. Riders are arranged 2 across in 2 rows for a total of 12 riders per train.,Werner Stengel,2005,40.2864,-76.6531,Steel,Unknown,40.0,91.9,0,4.0,1960.0,48.0,8540000.0,5.96,65.0,64.0,1000,31.2
683,Italian Job: Stunt Track (Kings Island),Other,Unknown,Premier Rides,Unknown,LIM Launch Track,3 trains with 3 cars. Riders are arranged 2 across in 2 rows for a total of 12 riders per train.,Werner Stengel,2005,40.2864,-76.6531,Steel,Unknown,40.0,91.9,0,4.0,1960.0,48.0,8540000.0,5.96,65.0,64.0,1000,31.2
684,Kanonen,Liseberg,Removed,Intamin,Accelerator Coaster,Unknown,2 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Werner Stengel,2005,57.6933,11.9954,Steel,2005-04-23,46.6,78.7,2,4.0,1440.0,7.0,50000000.0,10.0,90.0,73.0,930,92.0
685,Kingda Ka,Six Flags Great Adventure,Operating,Intamin,Accelerator Coaster,Hydraulic launch,"4 trains containing 5 cars each. Riders are seated 2 across in 2 rows, with only 1 row in the last car, for a total of 18 riders per train.",Werner Stengel,2005,40.1392,-74.4365,Steel,2005-05-21,128.0,91.9,0,4.0,3118.0,21.25984251968504,25000000.0,16.35,90.0,28.0,1400,418.0
686,American Dreier Looping,Other,Unknown,Anton Schwarzkopf,Unknown,Booster Wheel Lift Hill,3 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Werner Stengel,2005,40.2864,-76.6531,Steel,Unknown,53.0,91.9,3,4.7,3444.0,55.0,8540000.0,9.1,65.0,105.0,1500,92.0
687,Pandemonium (roller coaster),Other,Unknown,Gerstlauer,Unknown,Chain lift hill,Unknown,Werner Stengel,2005,40.2864,-76.6531,Steel,Unknown,31.0,91.9,0,4.0,1351.0,42.0,8540000.0,9.1,65.0,105.0,1080,27.0
688,Powder Keg: A Blast into the Wilderness,Other,Unknown,S&S – Sansei Technologies,Unknown,"3 types Transfer Track, Compressed Air Launch, and Chain lift hill",3 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Drew Schlie,2005,40.2864,-76.6531,Steel,Unknown,64.0,91.9,0,3.9,3506.0,42.0,8540000.0,8.46,76.0,173.0,1000,110.0
689,Raging Spirits,Tokyo DisneySea,Operating,Intamin,Intamin – Looping Coaster,Unknown,6 trains with 2 cars. Riders are arranged 2 across in 3 rows for a total of 12 riders per train.,Walt Disney ImagineeringSansei Technologies,2005,35.6277,139.8808,Steel,2005-07-21,37.3,91.9,1,4.0,2000.0,46.06299212598425,8.0,9.1,65.0,98.0,1080,92.0
690,Rita (roller coaster),Alton Towers,Operating,Intamin,Accelerator Coaster,Hydraulic Launch,2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Werner Stengel,2005,52.985,-1.8905,Steel,2005-04-01,61.1,60.4,0,4.7,2100.0,55.118110236220474,10000000.0,10.91,65.0,25.0,1150,92.0
691,Sequoia Adventure,Gardaland,Closed,S&S - Sansei Technologies,Screaming Squirrel,s and s launch,3 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,Unknown,2005,45.457,10.7076,Steel,2005-04-30,49.7,91.9,3,4.0,2300.0,7.0,8540000.0,9.1,65.0,85.0,1080,92.0
692,SheiKra,Busch Gardens Tampa Bay,Operating,Bolliger & Mabillard,Dive Coaster,Chain lift hill,3 cars. Riders are arranged 8 across in a single row for a total of 24 riders per train.,Unknown,2005,28.0367,-82.4244,Steel,2005-05-21,70.0,91.9,1,4.0,3188.0,54.0,13500000.0,9.1,90.0,140.0,1080,92.0
693,Space Mountain: Mission 2,Disneyland Park (Paris),Operating,Vekoma,Unknown,Electric Winch Launch / Booster wheels (second lift),5 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Walt Disney ImagineeringWerner Stengel,2005,48.8741,2.7793,Steel,2017-05-07,44.0,91.9,3,4.0,3281.0,47.2,8540000.0,9.1,65.0,135.0,2400,92.0
694,Superman Escape,Warner Bros. Movie World,Operating,Intamin,Accelerator Coaster,Hydraulic Launch,2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Werner Stengel,2005,-27.908,153.3125,Steel,2005-12-26,62.1,131.2,0,4.2,2490.0,7.0,10400000.0,13.86,90.0,100.0,820,130.0
695,Wild Mouse (Beech Bend Park),Beech Bend Park,Operating,Zamperla,Twister Coaster 420STD,Unknown,4 trains with a single car. Riders are arranged 4 across in a single row for a total of 4 riders per train.,Unknown,2005,37.0225,-86.4017,Steel,2005-01-01,29.1,91.9,0,2.5,1377.9,42.0,8540000.0,9.1,65.0,90.0,900,92.0
696,10 Inversion Roller Coaster,Chimelong Paradise,Operating,Intamin,Looping Coaster (Colossus),Unknown,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Werner Stengel,2006,23.0044,113.3269,Steel,2006-01-01,45.0,91.9,10,4.0,2788.8,21.25984251968504,8540000.0,9.1,65.0,92.0,1300,92.0
697,Black Mamba (roller coaster),Phantasialand,Operating,Bolliger & Mabillard,Inverted Coaster,Chain lift,Unknown,Unknown,2006,50.7986,6.8803,Steel,2006-05-24,49.7,91.9,4,4.0,2519.0,55.0,8540000.0,9.1,65.0,105.0,1500,92.0
698,Crystal Wing,Happy Valley Beijing,Operating,Bolliger & Mabillard,Flying Coaster,Unknown,Unknown,Unknown,2006,39.866,116.4885,Steel,2006-07-09,51.0,91.9,2,4.0,2798.0,48.0,8540000.0,9.1,65.0,105.0,1080,100.0
699,Eejanaika (roller coaster),Fuji-Q Highland,Operating,S&S Arrow,4th Dimension Coaster,Chain lift hill,5 cars. Riders are arranged 4 across in a single row for a total of 20 riders per train.,Alan Schilke,2006,35.4884,138.7808,Steel,2006-07-19,78.3,91.9,3,4.0,3782.83,49.21259842519685,3500000000.0,9.1,89.0,105.0,1000,92.0
700,Expedition Everest,Disney's Animal Kingdom,Operating,Vekoma,Custom,Chain lift hill,6 (max. 5 in operation) trains with 6 cars. Riders are arranged 2 across in 3 rows with the exception of the last car which has only 2 rows for a total of 34 riders per train.,Walt Disney Imagineering,2006,40.2864,-76.6531,Other,2006-04-07,50.0,91.9,0,3.0,3884.5,44.0,100000000.0,9.1,65.0,170.0,2050,80.0
701,Fairly Odd Coaster (Kings Island),Kings Island,Operating,Philadelphia Toboggan Coasters,Unknown,Chain lift hill,2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,John C. Allen,2006,39.3432,-84.2693,Wood,1972-01-01,35.0,91.9,0,4.0,1350.0,40.0,8540000.0,9.1,65.0,90.0,1200,30.0
702,Golden Wings in Snowfield,Happy Valley Beijing,Operating,Vekoma,Suspended Looping Coaster,Unknown,2 trains with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,Vekoma,2006,39.865,116.4846,Steel,2006-07-09,53.7,91.9,4,4.0,2454.1,48.0,8540000.0,9.1,65.0,92.0,1080,111.8
703,Goliath (Six Flags Over Georgia),Six Flags Over Georgia,Operating,Bolliger & Mabillard,Hyper Coaster,Chain lift hill,2 trains with 9 cars. Riders are arranged 4 across in a single row for a total of 36 riders per train.,Unknown,2006,33.7692,-84.55,Steel,2006-04-01,70.0,91.9,0,4.0,4480.0,54.0,20000000.0,9.1,59.0,210.0,1220,175.0
704,Goliath (La Ronde),La Ronde,Operating,Bolliger & Mabillard,Hyper Coaster,Chain lift hill,2 trains with 9 cars. Riders are arranged 4 across in a single row for a total of 36 riders per train.,Unknown,2006,45.5278,-73.5363,Steel,2006-05-13,68.4,91.9,0,4.0,4038.8,54.0,18700000.0,9.1,70.0,180.0,1080,170.6
705,Grand Exposition Coaster,Silver Dollar City,Operating,Zamperla,Family gravity coaster 80STD,Unknown,Single train with 6 cars. Riders are arranged 2 across in a single row for a total of 12 riders per train.,Unknown,2006,36.6704,-93.3366,Steel,2006-04-01,49.7,91.9,0,4.0,280.0,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
